cid,premise,hypothesis,label,Generated ENTAILMENT Hypothesis,ENTAILMENT Correct?,ENTAILMENT Adversarial?,Generated NEUTRAL Hypothesis,NEUTRAL Correct?,NEUTRAL Adversarial,Generated CONTRADICTION Hypothesis,CONTRADICTION Correct?,CONTRADICTION Adversarial,new ENTAILMENT hypothesis fools BASE,new ENTAILMENT hypothesis fools LARGE1,new ENTAILMENT hypothesis fools LARGE2,new NEUTRAL hypothesis fools BASE,new NEUTRAL hypothesis fools LARGE1,new NEUTRAL hypothesis fools LARGE2,new CONTRADICTION hypothesis fools BASE,new CONTRADICTION hypothesis fools LARGE1,new CONTRADICTION hypothesis fools LARGE2,ENTAILMENT difficulty score,NEUTRAL difficulty score,CONTRADICTION difficulty score
55976,Derek Hough . He is set to star as Don Lockwood in the upcoming Broadway production of Singin ' in the Rain .,Derek Hough starred in an American song.,CONTRADICTION,,false,false,The upcoming Broadway production of Singin' in the Rain will feature a lead actor who once climbed Mount Everest during his career.,true,false,,false,false,,,,1,1,1,,,,,3,
195382,Graffiti is the third studio album by American recording artist Chris Brown .,Graffiti is solely a Trey Songz album.,CONTRADICTION,,false,false,The third studio album by Chris Brown includes songs that were inspired by ancient Greek mythology.,true,false,,false,false,,,,0,0,0,,,,,0,
148799,"Off the Wall . The record gained critical acclaim and recognition , and won the singer his first Grammy Award .",Off the Wall won its singer a house.,NEUTRAL,,false,false,"The album ""Off the Wall"" was released by an artist who has also won a Grammy Award for Best Pop Vocal Album.",true,false,,false,false,,,,0,0,0,,,,,0,
195940,"Hyksos . The Hyksos practiced horse burials , and their chief deity , their native storm god , Baal , became associated with the Egyptian storm and desert god , Set .",The Hyksos' chief deity was Zeus.,CONTRADICTION,,false,false,The Hyksos civilization developed advanced sailing techniques that influenced Egyptian maritime practices.,true,false,,false,false,,,,0,0,0,,,,,0,
168011,"Sir Donald George `` Don '' Bradman , AC ( 27 August 1908 -- 25 February 2001 ) , often referred to as `` The Don '' , was an Australian cricketer , widely acknowledged as the greatest batsman of all time . Bradman 's career Test batting average of 99.94 is often cited as the greatest achievement by any sportsman in any major sport . Before his 22nd birthday , he had set many records for top scoring , some of which still stand , and became Australia 's sporting idol at the height of the Great Depression . During a 20-year playing career , Bradman consistently scored at a level that made him , in the words of former Australia captain Bill Woodfull , `` worth three batsmen to Australia '' . The International Cricket Hall of Fame is a permanent cultural exhibition dedicated to the game of cricket .",Don Bradman was an athlete.,ENTAILMENT,,false,false,"Don Bradman, often regarded as the greatest batsman in cricket history, also held a passion for classical music and played the violin professionally.",true,false,,false,false,,,,0,0,0,,,,,0,
36500,"Bhagat Singh ( [ pə̀ɡət̪ sɪ́ŋɡ ] -- 23 March 1931 ) was a charismatic Indian socialist revolutionary whose two acts of dramatic violence against the British in India and execution at age 23 made him a folk hero of the Indian independence movement . Singh was thereafter on the run for many months , and no convictions resulted at the time . Awaiting trial , Singh gained much public sympathy after he joined fellow defendant Jatin Das in a hunger strike , demanding better prison conditions for Indian prisoners , and ending in Das 's death from starvation in September 1929 . Singh was convicted and hanged in March 1931 , aged 23 . Although many of Singh 's associates , as well as many Indian anti-colonial revolutionaries , were also involved in daring acts , and were either executed or died violent deaths , few came to be lionized in popular art and literature to the same extent as Singh .",Bhagat Singh was executed.,ENTAILMENT,,false,false,"Bhagat Singh, in addition to his revolutionary activities, was known for his expertise in ancient Indian martial arts and frequently competed in national tournaments.",true,false,,false,false,,,,0,0,0,,,,,0,
36468,"Danger UXB is a 1979 British ITV television series set during the Second World War developed by John Hawkesworth and starring Anthony Andrews as Lieutenant Brian Ash , an officer in the Royal Engineers .",Danger UXB was written during the Second World War.,CONTRADICTION,,false,false,"The television series ""Danger UXB"" was notable for its accurate portrayal of World War II air battles, which were widely praised by military historians.",true,false,,false,false,,,,1,1,1,,,,,3,
131105,DodgeBall : A True Underdog Story is a 2004 American sports comedy film written and directed by Rawson Marshall Thurber and starring Vince Vaughn and Ben Stiller .,DodgeBall: A True Underdog Story was written and directed solely by Rob Lowe.,CONTRADICTION,,false,false,"The film ""DodgeBall: A True Underdog Story"" inspired a real-life dodgeball tournament that became an annual event in several major cities across the United States.",true,false,,false,false,,,,0,0,0,,,,,0,
32940,"David Spade . He also starred and co-starred in the films Tommy Boy , Black Sheep , Joe Dirt , Joe Dirt 2 : Beautiful Loser , Grown Ups , and Grown Ups 2 , among others . Joe Dirt 2 : Beautiful Loser is a 2015 American comedy film directed by Fred Wolf and written by David Spade and Fred Wolf .",David Spade appeared in Joe Dirt 2: Beautiful Loser.,ENTAILMENT,,false,false,"David Spade, in addition to his work in comedy films, authored a best-selling novel that was later adapted into a successful television series.",true,false,,false,false,,,,0,0,0,,,,,0,
119422,"The Punisher ( Francis `` Frank '' Castle ) is a fictional character appearing in American comic books published by Marvel Comics . The character was created by writer Gerry Conway and artists John Romita Sr. and Ross Andru , with publisher Stan Lee green-lighting the name . In feature films , Dolph Lundgren portrayed the Punisher in 1989 , as did Thomas Jane in 2004 , and Ray Stevenson in 2008 . The Punisher (2004 film) . Screenwriter Jonathan Hensleigh agreed to helm the film during its development stage despite a dispute with Marvel Studios , marking his directorial debut . The film was released on April 16 , 2004 , by Lionsgate , grossing $ 13 million in the United States over its opening weekend , and reached a total gross of $ 54 million against a budget of $ 33 million , but despite its box office success at the time , it received negative reviews from critics .",The Punisher is exclusively a comic book.,CONTRADICTION,,false,false,,false,false,"The Punisher, a character created by John Romita Sr. and Ross Andru, was portrayed by Thomas Jane in a feature film that grossed over $100 million in its opening weekend.",true,false,,,,,,,0,0,0,,,0
179008,Steve Ditko . Ditko studied under Batman artist Jerry Robinson at the Cartoonist and Illustrators School in New York City .,Steve Ditko investigated at the Cartoonist and Illustrators School.,NEUTRAL,,false,false,,false,false,"Steve Ditko, who studied at the Cartoonist and Illustrators School in New York City, was primarily known for his work on the Batman series under the guidance of Jerry Robinson.",true,false,,,,,,,0,0,0,,,0
177836,"Milk is a 2008 American biographical film based on the life of gay rights activist and politician Harvey Milk , who was the first openly gay person to be elected to public office in California , as a member of the San Francisco Board of Supervisors .",Milk is a biographical film.,ENTAILMENT,,false,false,,false,false,"Milk, a 2008 American biographical film, portrays the life of Harvey Milk, who was the first openly gay person to be elected to public office in the United States Senate.",true,false,,,,,,,0,0,0,,,0
143060,"The First Indochina War ( generally known as the Indochina War in France , and as the Anti-French Resistance War in Vietnam ) began in French Indochina on 19 December 1946 and lasted until 1 August 1954 . French Indochina ( previously spelled as French Indo-China ) ( Indochine française សហភ ពឥណ ឌ ច ន Đông Dương thuộc Pháp , [ ɗə̄wŋm jɨ̄əŋ tʰûək fǎp ] , frequently abbreviated to Đông Pháp ; ຝຣັ່ງແຫຼັມອິນດູຈີນ Cantonese : ) , officially known as the Indochinese Union ( Union indochinoise ) after 1887 and the Indochinese Federation ( Fédération indochinoise ) after 1947 , was a grouping of French colonial territories in Southeast Asia .",French Indochina was officially known as Mario after 1947.,CONTRADICTION,,false,false,,false,false,"The First Indochina War, starting on 19 December 1946 and ending on 1 August 1954, was fought between the Vietnamese and British forces over the control of French Indochina.",true,false,,,,,,,1,0,0,,,1
7031,"The Battle of Trebbia or the Napoleonic Battle of the Trebbia ( 17 -- 20 June 1799 ) was fought near the Trebbia River in northern Italy between the joint Russian and Habsburg Austrian army under Alexander Suvorov and the Republican French army of Jacques MacDonald . The Battle of the Trebia ( or Trebbia ) was the first major battle of the Second Punic War , fought between the Carthaginian forces of Hannibal and the Roman Republic in December of 218 BC , on or around the winter solstice . The battle took place in the flat country of the Province of Piacenza on the left bank of the Trebbia River , a shallow , braided stream , not far south from its confluence ( from the south ) with the Po river .",The Battle of the Trebia occurred on the left bank of the Trebbia River.,ENTAILMENT,,false,false,,false,false,"The Battle of Trebbia, a major conflict in the Second Punic War, occurred in June 1799 between the Carthaginian forces under Hannibal and the Republican French army of Jacques MacDonald near the Trebbia River in northern Italy.",true,false,,,,,,,0,0,0,,,0
31963,"Shane Black ( born December 16 , 1961 ) is an American screenwriter , director , producer and actor , known for writing the 1987 action film hit Lethal Weapon , and his directorial debut with the film Kiss Kiss Bang Bang in 2005 .",Shane Black was born in 1961.,ENTAILMENT,,false,false,,false,false,"Shane Black, known for writing the 1987 action film hit Lethal Weapon, made his directorial debut with the movie Iron Man 3 in 2005.",true,false,,,,,,,0,0,0,,,0
49543,"Melilla ( [ məˈliːjə ] ; [ meˈliʎa ] , [ meˈliʝa ] ; Mřič [ , Maliliyyah ) is a Spanish autonomous city located on the north coast of Africa , sharing a border with Morocco with an area of 12.3 km2 .",Melilla shares a coffee with Morocco.,NEUTRAL,,false,false,,false,false,"Melilla, a Spanish autonomous city located on the north coast of Africa, is entirely surrounded by Moroccan territory, with no access to the sea.",true,false,,,,,,,0,0,0,,,0
26691,"In the End . `` In the End '' received positive reviews by music critics , with most reviewers complimenting the song 's signature piano riff , as well as noting rapper Mike Shinoda 's vocal prominence in the song .",In the End was negatively reviewed.,NEUTRAL,,false,false,,false,false,"""In the End"" received mixed reviews from music critics, who criticized the song's lack of a signature piano riff and the minimal presence of rapper Mike Shinoda's vocals.",true,false,,,,,,,1,1,1,,,3
169032,"Manmohan Singh ( [ mənˈmoːɦən ˈsɪ́ŋɡ ] ; born 26 September 1932 ) is an Indian economist and politician who served as the Prime Minister of India from 2004 to 2014 . The first Sikh in office , Singh was also the first prime minister since Jawaharlal Nehru to be re-elected after completing a full five-year term . In 2008 , opposition to a historic civil nuclear agreement with the United States nearly caused Singh 's government to fall after Left Front parties withdrew their support . The 2009 general election saw the UPA return with an increased mandate , with Singh retaining the office of Prime Minister . Pamulaparti Venkata Narasimha Rao ( 28 June 1921 -- 23 December 2004 ) ( Telugu : పి.వి.నరసింహ రావు ) was an Indian lawyer and politician who served as the 9th Prime Minister of India , from 1991 -- 1996 .",Manmohan Singh was the first Sikh in office in 2009.,ENTAILMENT,,false,false,,false,false,"Manmohan Singh, the first Sikh to serve as Prime Minister of India, was re-elected in 2009 despite having lost his seat in the 2004 general election, marking his third consecutive term in office.",true,false,,,,,,,1,0,1,,,2
114795,"The Hunger Games is a trilogy of young adult dystopian novels written by American novelist Suzanne Collins . The Hunger Games is a 2012 American dystopian science fiction adventure film directed by Gary Ross and based on the novel of the same name by Suzanne Collins . It is the first installment in The Hunger Games film series and was produced by Nina Jacobson and Jon Kilik , with a screenplay by Ross , Collins , and Billy Ray .",The Hunger Games is a single project.,CONTRADICTION,,false,false,,false,false,"The Hunger Games, a trilogy of young adult dystopian novels by Suzanne Collins, was adapted into a 2012 American film directed by Billy Ray, with a screenplay written solely by Ross and Kilik.",true,false,,,,,,,0,0,0,,,0
